postal_code,estimated_cat_population,estimated_dog_population
BS15,"5,829.98","6,685.95"
BS16,"10,282.87","11,792.61"
BS2,"2,604.99","2,987.46"
BS20,"8,138.08","9,332.92"
BS21,"3,518.51","4,035.10"
BS22,"6,221.49","7,134.93"
BS23,"7,059.80","8,096.33"
BS24,"4,543.95","5,211.09"
BS25,"2,406.08","2,759.34"
BS26,"1,860.99","2,134.22"
BS27,"4,583.88","5,256.89"
BS28,"4,034.58","4,626.94"
BS29,543.5716912,623.3794431
BS3,"4,953.58","5,680.87"
BS30,"5,400.72","6,193.66"
BS31,"2,578.83","2,957.45"
BS32,"4,899.43","5,618.76"
BS34,"4,383.32","5,026.89"
BS35,"3,081.31","3,533.71"
BS36,"2,518.38","2,888.13"
BS37,"3,337.82","3,827.88"
BS39,"3,905.76","4,479.21"
BS4,"12,959.10","14,861.76"
BS40,"11,526.62","13,218.97"
BS41,930.5047501,"1,067.12"
BS48,"7,687.90","8,816.65"
BS49,"2,310.27","2,649.47"
BS5,"6,166.18","7,071.51"
BS6,"3,130.92","3,590.61"
BS7,"3,448.69","3,955.03"
BS8,"2,715.67","3,114.39"
BS9,"2,842.30","3,259.61"
CA1,"7,111.54","8,155.66"
CA10,"7,348.87","8,427.84"
BB94,0,0
BD97,0,0
BD98,0,0
BD99,0,0
BL11,0,0
BL78,0,0
BN50,0,0
BN88,0,0
BN99,0,0
BS98,0,0
BS99,0,0
CA11,"8,559.79","9,816.55"
CA12,"3,894.39","4,466.16"
CA13,"4,699.07","5,388.99"
CA14,"6,064.32","6,954.68"
CA15,"2,186.97","2,508.06"
CA16,"2,506.51","2,874.52"
CA17,"2,819.23","3,233.16"
CA18,150.4527371,172.5423619
CA19,531.5968392,609.6464311
CA2,"6,117.04","7,015.15"
CA20,"1,151.12","1,320.13"
CA21,271.2143297,311.0342951
CA22,"3,201.36","3,671.38"
CA23,489.5077269,561.3777522
CA24,252.5388976,289.616917
CA25,"1,520.98","1,744.29"
CA26,911.5772662,"1,045.42"
CA27,518.534605,594.6663863
CA28,"4,568.21","5,238.92"
CA3,"7,369.39","8,451.37"
CA4,"5,509.06","6,317.91"
CA5,"4,756.77","5,455.17"
CA6,"8,040.16","9,220.62"
CA7,"8,003.29","9,178.34"
CA8,"6,824.98","7,827.03"
CA9,"1,819.93","2,087.14"
CB1,"7,020.09","8,050.78"
CB10,"3,600.16","4,128.74"
CB11,"4,028.44","4,619.90"
CB2,"1,716.78","1,968.84"
CB21,"7,162.24","8,213.80"
CB22,"4,025.49","4,616.52"
CB23,"11,053.48","12,676.37"
CB24,"9,965.52","11,428.66"
CB25,"6,553.24","7,515.39"
CB3,"6,033.83","6,919.73"
CB4,"6,558.07","7,520.93"
CB5,"6,375.93","7,312.05"
CB6,"4,823.85","5,532.09"
CB7,"4,209.86","4,827.96"
CB8,"23,544.45","27,001.27"
CB9,"4,547.14","5,214.75"
CF10,946.5707352,"1,085.55"
CF11,"2,867.65","3,288.68"
CF14,"12,137.01","13,918.97"
CF15,"2,348.72","2,693.57"
CF23,"5,623.85","6,449.55"
CF24,"2,998.85","3,439.15"
CF3,"4,138.22","4,745.80"
CF31,"9,971.15","11,435.12"
CF32,"3,136.57","3,597.08"
CF33,"2,773.71","3,180.95"
CF34,"4,096.46","4,697.90"
CF35,"3,317.96","3,805.10"
CF36,"4,133.79","4,740.72"
CF37,"2,188.90","2,510.27"
CF38,"1,548.71","1,776.09"
CF39,"1,552.01","1,779.88"
CF40,656.3555234,752.722313
CF41,316.6766554,363.171446
CF42,374.6091904,429.6096951
CF43,792.1755911,908.483622
CF44,"1,712.45","1,963.87"
CF45,"3,640.84","4,175.39"
CF46,"1,139.27","1,306.53"
CF47,"3,755.45","4,306.83"
CF48,"4,258.39","4,883.61"
CF5,"9,832.82","11,276.49"
CF61,"1,379.32","1,581.83"
CF62,"3,923.60","4,499.66"
CF63,"1,903.19","2,182.62"
CF64,"3,121.63","3,579.95"
CF71,"1,701.53","1,951.35"
CF72,"5,373.64","6,162.60"
CF81,"1,573.18","1,804.16"
CF82,"1,672.72","1,918.31"
CF83,"6,076.57","6,968.74"
CH1,"5,491.71","6,298.01"
CH2,"9,233.04","10,588.64"
CH3,"7,982.71","9,154.74"
CH4,"8,291.39","9,508.75"
CH41,"1,941.11","2,226.11"
CH42,"4,211.23","4,829.53"
CH43,"3,947.70","4,527.30"
CH44,"3,644.97","4,180.13"
CH45,"4,661.69","5,346.12"
CH46,"2,894.85","3,319.88"
CH47,"2,679.82","3,073.28"
CH48,"2,793.38","3,203.50"
CH49,"3,843.05","4,407.30"
CH5,"19,243.29","22,068.61"
CH6,"4,411.96","5,059.73"
CH60,"4,606.26","5,282.55"
CH61,"4,472.59","5,129.26"
CH62,"2,044.91","2,345.14"
CH63,"5,123.08","5,875.26"
CH64,"10,244.88","11,749.05"
CH65,"2,724.26","3,124.24"
CH66,"8,896.63","10,202.84"
CH7,"16,371.83","18,775.56"
CH8,"10,826.54","12,416.10"
CM0,"4,680.20","5,367.35"
CM1,"7,517.25","8,620.94"
CM11,"1,694.67","1,943.48"
CM12,"2,755.06","3,159.56"
CM13,"3,614.94","4,145.68"
CM14,"1,307.37","1,499.32"
CM15,"4,105.92","4,708.75"
CM16,"6,165.72","7,070.98"
CM17,"2,713.40","3,111.79"
CM18,810.0322697,928.9620364
CM19,"1,683.06","1,930.17"
CM2,"11,329.95","12,993.42"
CM20,"5,659.11","6,489.99"
CM21,"3,509.29","4,024.52"
CM22,"3,390.02","3,887.75"
CM23,"9,780.60","11,216.60"
CM24,"2,575.44","2,953.57"
CM3,"10,163.19","11,655.36"
CM4,"3,388.84","3,886.39"
CM5,"3,866.10","4,433.72"
CM6,"7,192.19","8,248.15"
CM7,"6,437.32","7,382.45"
CM77,"2,853.38","3,272.32"
CM8,"4,772.04","5,472.67"
CM9,"9,686.15","11,108.29"
CO1,"4,489.73","5,148.92"
CO10,"10,792.12","12,376.63"
CO11,"1,248.36","1,431.64"
CO12,"2,677.59","3,070.72"
CO13,571.1376153,654.9926244
CO14,288.0679836,330.3624197
CO15,"3,760.95","4,313.13"
CO16,"3,705.67","4,249.74"
CO2,"5,201.51","5,965.20"
CO3,"3,669.01","4,207.70"
CO4,"6,081.96","6,974.92"
CO5,"8,185.33","9,387.11"
CO6,"6,897.57","7,910.28"
CO7,"6,541.70","7,502.16"
CO8,"1,597.28","1,831.79"
CO9,"7,819.43","8,967.49"
CR0,"7,868.29","9,023.52"
CR2,"3,306.56","3,792.03"
CR3,"8,537.06","9,790.48"
CR4,"2,917.01","3,345.29"
CR5,"4,125.31","4,731.00"
CR6,714.173794,819.0295212
CR7,733.3720299,841.0464617
CR8,"1,868.25","2,142.55"
CT1,"6,052.53","6,941.16"
CT10,"2,182.07","2,502.44"
CT11,"1,661.89","1,905.89"
CT12,"3,325.19","3,813.40"
CT13,"2,506.55","2,874.56"
CT14,"10,385.88","11,910.74"
CT15,"3,471.83","3,981.57"
CT16,"5,807.42","6,660.07"
CT17,"4,595.49","5,270.21"
CT18,"2,040.02","2,339.53"
CT19,"6,336.57","7,266.91"
CT2,"2,286.61","2,622.34"
CT20,"4,181.71","4,795.67"
CT21,"1,837.84","2,107.68"
CT3,"5,924.65","6,794.52"
CT4,"3,784.62","4,340.29"
CT5,"8,245.17","9,455.73"
CT6,"11,778.93","13,508.33"
CT7,"2,186.18","2,507.15"
CT8,"1,137.85","1,304.91"
CT9,"5,059.56","5,802.41"
CV1,"2,222.60","2,548.92"
CV10,"4,706.26","5,397.24"
CV11,"5,993.40","6,873.36"
CV12,"1,950.77","2,237.18"
CV13,"1,463.01","1,677.81"
CV2,"3,054.10","3,502.50"
CV21,"5,366.08","6,153.93"
CV22,"5,532.24","6,344.48"
CV23,"3,309.77","3,795.71"
CV3,"4,470.73","5,127.13"
CV31,"5,223.53","5,990.45"
CV32,"8,925.60","10,236.06"
CV33,"1,907.59","2,187.67"
CV34,"4,165.48","4,777.06"
CV35,"5,691.02","6,526.58"
CV36,"2,778.02","3,185.90"
CV37,"8,964.11","10,280.23"
CV4,"5,978.36","6,856.11"
CV47,"3,723.45","4,270.13"
CV5,"6,781.95","7,777.69"
CV6,"8,130.20","9,323.88"
CV7,"6,134.45","7,035.12"
CV8,"6,494.66","7,448.21"
CV9,"5,778.95","6,627.43"
CW1,"10,450.04","11,984.32"
CW10,"1,558.10","1,786.86"
CW11,"4,720.85","5,413.97"
CW12,"14,281.83","16,378.70"
CW2,"5,216.63","5,982.54"
CW3,"1,899.78","2,178.70"
CW4,"2,465.65","2,827.66"
CW5,"12,470.86","14,301.84"
CW6,"4,186.40","4,801.06"
CW7,"4,375.18","5,017.55"
CW8,"2,643.52","3,031.65"
CW9,"3,386.55","3,883.77"
DA1,"5,557.53","6,373.50"
DA10,742.2524364,851.2306987
DA11,"5,816.88","6,670.92"
DA12,"1,277.14","1,464.66"
DA13,"4,301.47","4,933.02"
DA14,"7,220.16","8,280.24"
DA15,"1,968.10","2,257.06"
DA16,"1,873.77","2,148.88"
DA17,884.1401587,"1,013.95"
DA18,229.8993912,263.653455
DA2,"2,691.98","3,087.22"
DA3,"6,060.51","6,950.32"
DA4,"1,863.03","2,136.57"
DA5,"2,253.98","2,584.91"
DA6,777.4546634,891.6013526
DA7,"2,033.56","2,332.13"
DA8,"1,593.82","1,827.82"
DA9,"1,316.61","1,509.92"
DD1,727.3410374,834.1299928
DD10,"8,883.80","10,188.13"
DD11,"3,723.40","4,270.08"
DD2,"5,275.84","6,050.44"
DD3,"4,079.35","4,678.29"
DD4,"5,112.44","5,863.06"
DD5,"10,108.75","11,592.93"
DD6,"2,566.27","2,943.05"
DD7,"3,494.08","4,007.08"
DD8,"9,621.43","11,034.05"
DD9,"1,703.21","1,953.28"
DE1,"5,920.05","6,789.23"
DE11,"4,801.56","5,506.53"
DE12,"2,670.91","3,063.06"
DE13,"16,085.40","18,447.08"
DE14,"7,413.08","8,501.47"
DE15,"6,439.18","7,384.59"
DE21,"8,415.56","9,651.14"
DE22,"4,334.05","4,970.38"
DE23,"6,778.23","7,773.42"
DE24,"6,904.85","7,918.63"
DE3,"4,674.75","5,361.11"
DE4,"13,620.43","15,620.19"
DE45,"3,253.45","3,731.12"
DE5,"6,389.44","7,327.55"
DE55,"6,609.43","7,579.84"
DE56,"11,742.38","13,466.41"
DE6,"8,446.02","9,686.08"
DE65,"11,200.86","12,845.38"
DE7,"6,909.45","7,923.91"
DE72,"1,474.45","1,690.93"
DE73,"1,328.60","1,523.66"
DE74,"2,864.62","3,285.20"
DE75,"4,530.82","5,196.04"
DG1,"9,362.13","10,736.69"
DG10,"1,006.41","1,154.17"
DG11,"9,248.37","10,606.23"
DG12,"6,063.96","6,954.28"
DG13,"2,884.36","3,307.85"
DG14,599.5871965,687.6192023
DG16,"1,292.46","1,482.22"
DG2,"2,969.02","3,404.93"
DG3,"5,260.64","6,033.01"
DG4,"4,610.97","5,287.96"
DG5,"2,257.16","2,588.56"
DG6,"1,073.74","1,231.39"
DG7,"8,017.77","9,194.95"
DG8,"5,182.62","5,943.54"
DG9,"5,006.77","5,741.87"
DH1,"7,273.57","8,341.49"
DH2,"7,102.07","8,144.81"
DH3,"6,087.88","6,981.71"
DH4,"3,403.99","3,903.76"
DH5,"1,605.91","1,841.69"
DH6,"2,894.72","3,319.73"
DH7,"5,445.26","6,244.74"
DH8,"3,319.79","3,807.20"
DH9,"2,214.92","2,540.12"
DL1,"4,325.36","4,960.41"
DL10,"4,991.93","5,724.85"
DL11,"4,997.15","5,730.84"
DL12,"5,146.72","5,902.37"
DL13,"1,434.25","1,644.82"
DL14,"7,011.67","8,041.13"
DL15,"2,301.18","2,639.04"
DL16,"1,896.75","2,175.23"
DL17,"1,239.95","1,422.01"
DL2,"5,781.23","6,630.03"
DL3,"3,330.21","3,819.16"
DL4,"1,085.16","1,244.48"
DL5,"3,541.50","4,061.47"
DL6,"8,231.44","9,439.99"
DL7,"5,152.86","5,909.41"
DL8,"17,391.45","19,944.88"
DL9,"2,396.61","2,748.48"
DN1,"1,081.87","1,240.71"
DN10,"1,878.00","2,153.73"
DN11,"1,525.30","1,749.25"
DN12,"1,488.25","1,706.76"
DN14,"8,491.64","9,738.39"
DN15,"11,894.21","13,640.53"
DN16,"2,754.43","3,158.83"
DN17,"6,191.90","7,101.00"
DN18,"2,722.57","3,122.30"
DN19,"1,340.90","1,537.77"
DN2,"3,114.75","3,572.07"
DN20,"3,336.42","3,826.27"
DN21,"2,133.50","2,446.74"
DN22,"6,219.46","7,132.61"
DN3,"2,713.22","3,111.58"
DN31,"2,687.16","3,081.69"
DN32,"4,208.56","4,826.46"
DN33,"1,374.15","1,575.90"
DN34,"1,807.44","2,072.81"
DN35,"2,884.11","3,307.56"
DN36,"3,494.52","4,007.59"
DN37,"2,598.89","2,980.46"
DN38,557.2350794,639.0489039
DN39,"1,005.95","1,153.64"
DN4,"3,998.06","4,585.06"
DN40,"1,582.59","1,814.95"
DN41,"1,107.78","1,270.42"
DN5,"3,907.60","4,481.32"
DN6,"4,120.62","4,725.62"
DN7,"1,119.67","1,284.06"
DN8,"2,682.93","3,076.84"
DN9,"5,185.17","5,946.46"
DT1,"7,366.59","8,448.16"
DT10,"6,975.27","7,999.38"
DT11,"14,299.10","16,398.51"
DT2,"7,906.91","9,067.81"
DT3,"6,710.04","7,695.21"
DT4,"7,915.23","9,077.35"
DT5,"3,233.55","3,708.30"
DT6,"6,841.76","7,846.28"
DT7,640.3044208,734.314571
DT8,"3,015.24","3,457.94"
DT9,"7,443.02","8,535.81"
DY1,"3,904.08","4,477.28"
DY10,"8,889.61","10,194.80"
DY11,"4,700.90","5,391.09"
DY12,"2,943.81","3,376.03"
DY13,"4,345.61","4,983.64"
DY14,"4,113.68","4,717.66"
DY2,"4,101.55","4,703.74"
DY3,"3,040.57","3,486.99"
DY4,"2,773.11","3,180.26"
DY5,"2,772.18","3,179.19"
DY6,"1,517.62","1,740.43"
DY7,"1,534.30","1,759.56"
DY8,"5,536.38","6,349.24"
DY9,"5,365.07","6,152.78"
E1,"1,328.87","1,523.98"
E10,"1,359.32","1,558.89"
E11,"4,527.03","5,191.69"
E12,849.2831447,973.9757651
E13,679.8403122,779.6551625
E14,"2,887.55","3,311.50"
E15,"1,589.64","1,823.03"
E16,"2,128.12","2,440.57"
E17,"2,797.08","3,207.75"
E18,"1,349.43","1,547.56"
E1W,296.7000796,340.2618889
E2,"1,085.51","1,244.89"
E20,168.3896751,193.1128195
E3,"3,112.69","3,569.70"
E4,"7,067.58","8,105.25"
E5,623.2315145,714.7350032
E6,"2,192.72","2,514.66"
E7,"1,361.08","1,560.91"
E8,"1,163.15","1,333.93"
E9,728.5581177,835.525766
EC1A,25.70275297,29.47645746
EC1M,57.39571905,65.82261726
EC1N,45.30755861,51.95966072
EC1R,194.5836063,223.1525705
EC1V,406.1526696,465.7844202
EC1Y,95.16930012,109.1421541
EC2A,159.7906648,183.2512937
EC2M,26.60012038,30.50557728
EC2N,8.401395157,9.634896591
EC2P,0.567534514,0.650860512
EC2R,12.9850795,14.89156216
EC2V,9.659814098,11.07807789
EC2Y,19.36708103,22.21057568
EC3A,11.58143722,13.28183569
EC3M,16.89775454,19.37870016
EC3N,26.76676111,30.69668437
EC3R,16.79193167,19.25734026
EC3V,12.68742949,14.55021087
EC4A,12.78568618,14.6628937
EC4M,8.829240054,10.12555811
EC4N,10.03052631,11.50321845
EC4R,8.084164462,9.271089761
EC4V,17.62160961,20.20883237
EC4Y,26.42268301,30.30208837
EH1,986.0729724,"1,130.85"
EH10,"5,186.52","5,948.01"
EH11,"4,852.83","5,565.33"
EH12,"3,963.05","4,544.91"
EH13,"1,887.80","2,164.96"
EH14,"4,719.37","5,412.28"
EH15,"3,492.38","4,005.14"
EH16,"4,160.17","4,770.98"
EH17,"2,727.03","3,127.41"
EH18,975.2033322,"1,118.38"
EH19,"3,174.02","3,640.04"
EH2,578.1106473,662.9894441
EH20,"5,294.38","6,071.71"
EH21,"6,222.06","7,135.58"
EH22,"5,043.98","5,784.55"
EH23,"4,659.49","5,343.60"
EH24,429.5869849,492.6593856
EH25,"7,489.82","8,589.49"
EH26,"3,873.33","4,442.02"
EH27,205.8667618,236.0923305
EH28,"1,656.58","1,899.80"
EH29,"2,529.41","2,900.78"
EH3,"3,360.03","3,853.35"
EH30,"2,504.63","2,872.36"
EH31,"1,226.28","1,406.32"
EH32,"5,449.72","6,249.86"
EH33,"5,495.20","6,302.01"
EH34,780.1143994,894.6515938
EH35,563.7288966,646.4961501
EH36,95.28978749,109.2803316
EH37,300.1991533,344.2747002
EH38,256.7490794,294.4452419
EH39,"4,152.06","4,761.67"
EH4,"8,242.26","9,452.40"
EH40,375.1562981,430.2371297
EH41,"1,776.37","2,037.18"
EH42,"2,923.75","3,353.02"
EH43,276.2751144,316.8381094
EH44,998.2337518,"1,144.80"
EH45,"4,564.22","5,234.34"
EH46,807.1818934,925.693165
EH47,"1,103.24","1,265.22"
EH48,"1,756.39","2,014.27"
EH49,"2,561.79","2,937.91"
EH5,"2,760.78","3,166.12"
EH51,"2,103.61","2,412.47"
EH52,"1,672.42","1,917.97"
EH53,"1,096.00","1,256.92"
EH54,"7,343.58","8,421.77"
EH55,"2,098.82","2,406.97"
EH6,"5,783.16","6,632.25"
EH7,"2,480.70","2,844.92"
EH8,"1,574.90","1,806.13"
EH9,"2,848.25","3,266.44"
EN1,"4,671.42","5,357.28"
EN10,"4,950.58","5,677.43"
EN11,"3,763.15","4,315.66"
EN2,"2,665.96","3,057.38"
EN3,"4,510.28","5,172.48"
EN4,"2,488.66","2,854.05"
EN5,"2,989.10","3,427.96"
EN6,"14,096.19","16,165.81"
EN7,"3,037.11","3,483.02"
EN8,"3,824.16","4,385.63"
EN9,"4,890.29","5,608.29"
EX1,"2,874.25","3,296.25"
EX10,"5,868.88","6,730.56"
EX11,"2,670.28","3,062.34"
EX12,"3,679.21","4,219.39"
EX13,"4,253.91","4,878.47"
EX14,"7,337.47","8,414.77"
EX15,"10,716.45","12,289.85"
EX16,"10,815.58","12,403.54"
EX17,"8,836.08","10,133.41"
EX18,717.3283622,822.6472464
EX19,"1,966.24","2,254.93"
EX2,"5,393.10","6,184.93"
EX20,"9,732.79","11,161.77"
EX21,"2,202.67","2,526.07"
CA95,0,0
CA99,0,0
CF91,0,0
CF95,0,0
CF99,0,0
CH70,0,0
CH88,0,0
CH99,0,0
CM92,0,0
CM98,0,0
CR9,0,0
CT50,0,0
DE99,0,0
DH97,0,0
DH99,0,0
DL98,0,0
DN55,0,0
E98,0,0
EC3P,0,0
EH91,0,0
EH99,0,0
EX22,"9,646.04","11,062.28"
EX23,"8,605.79","9,869.30"
EX24,"1,265.77","1,451.61"
EX3,"1,008.37","1,156.42"
